caseid,time,activity
1,208,arrival
1,208,join_queue_1
1,208,begin_service
2,238,arrival
2,238,join_queue_1
2,238,join_queue_2 - service request escalated
2,238,begin_service
2,238,begin_escalated_service
3,258,arrival
3,258,join_queue_1
3,258,join_queue_2 - service request escalated
3,258,begin_service
4,370,arrival
4,370,join_queue_1
4,370,begin_service
5,451,arrival
5,451,join_queue_1
5,451,begin_service
3,481,end_service
2,509,end_service
1,511,end_service
6,628,arrival
6,628,join_queue_1
6,628,join_queue_2 - service request escalated
6,628,begin_service
7,669,arrival
7,669,join_queue_1
7,669,join_queue_2 - service request escalated
7,669,begin_service
4,711,end_service
8,724,arrival
8,724,join_queue_1
8,724,begin_service
5,765,end_service
9,769,arrival
9,769,join_queue_1
9,769,begin_service
10,816,arrival
10,816,join_queue_1
10,816,begin_service
6,822,end_service
7,916,end_service
8,967,end_service
11,1046,arrival
11,1046,join_queue_1
11,1046,begin_service
9,1081,end_service
10,1112,end_service
12,1142,arrival
12,1142,join_queue_1
12,1142,join_queue_2 - service request escalated
3,1142,renege_queue_2
12,1142,begin_service
2,1247,end_escalated_service
6,1247,begin_escalated_service
6,1247,end_escalated_service
7,1247,begin_escalated_service
13,1253,arrival
13,1253,join_queue_1
13,1253,begin_service
11,1270,end_service
14,1333,arrival
14,1333,join_queue_1
14,1333,begin_service
12,1376,end_service
15,1382,arrival
15,1382,join_queue_1
15,1382,begin_service
16,1476,arrival
16,1476,join_queue_1
16,1476,begin_service
13,1619,end_service
15,1730,end_service
14,1738,end_service
17,1769,arrival
17,1769,join_queue_1
17,1769,join_queue_2 - service request escalated
17,1769,begin_service
18,1781,arrival
18,1781,join_queue_1
18,1781,begin_service
16,1818,end_service
18,2080,end_service
17,2126,end_service
19,2146,arrival
19,2146,join_queue_1
19,2146,join_queue_2 - service request escalated
19,2146,begin_service
20,2148,arrival
20,2148,join_queue_1
20,2148,begin_service
21,2269,arrival
21,2269,join_queue_1
21,2269,begin_service
22,2303,arrival
22,2303,join_queue_1
22,2303,begin_service
23,2323,arrival
23,2323,join_queue_1
23,2323,begin_service
19,2402,end_service
24,2427,arrival
24,2427,join_queue_1
24,2427,join_queue_2 - service request escalated
12,2427,renege_queue_2
24,2427,begin_service
25,2509,arrival
25,2509,join_queue_1
25,2509,begin_service
7,2515,end_escalated_service
17,2515,begin_escalated_service
20,2520,end_service
22,2588,end_service
21,2610,end_service
26,2642,arrival
26,2642,join_queue_1
26,2642,begin_service
23,2668,end_service
24,2728,end_service
27,2827,arrival
27,2827,join_queue_1
27,2827,begin_service
25,2888,end_service
26,2938,end_service
27,3102,end_service
28,3281,arrival
28,3281,join_queue_1
28,3281,begin_service
17,3340,end_escalated_service
19,3340,begin_escalated_service
29,3535,arrival
29,3535,join_queue_1
29,3535,join_queue_2 - service request escalated
29,3535,begin_service
28,3587,end_service
30,3655,arrival
30,3655,join_queue_1
30,3655,begin_service
31,3684,arrival
31,3684,join_queue_1
31,3684,begin_service
32,3689,arrival
32,3689,join_queue_1
32,3689,join_queue_2 - service request escalated
32,3689,begin_service
19,3690,end_escalated_service
24,3690,begin_escalated_service
33,3787,arrival
33,3787,join_queue_1
33,3787,begin_service
34,3826,arrival
34,3826,join_queue_1
34,3826,begin_service
35,3829,arrival
35,3829,join_queue_1
35,3829,begin_service
29,3852,end_service
36,3905,arrival
36,3905,join_queue_1
36,3905,begin_service
30,3908,end_service
32,3911,end_service
31,3919,end_service
37,3951,arrival
37,3951,join_queue_1
37,3951,begin_service
38,4005,arrival
38,4005,join_queue_1
38,4005,begin_service
39,4015,arrival
39,4015,join_queue_1
39,4015,join_queue_2 - service request escalated
39,4015,begin_service
35,4027,end_service
33,4066,end_service
34,4074,end_service
40,4089,arrival
40,4089,join_queue_1
40,4089,begin_service
41,4155,arrival
41,4155,join_queue_1
41,4155,begin_service
42,4228,arrival
42,4228,join_queue_1
42,4228,begin_service
39,4229,end_service
37,4252,end_service
36,4275,end_service
38,4304,end_service
40,4379,end_service
43,4448,arrival
43,4448,join_queue_1
43,4448,begin_service
42,4531,end_service
41,4535,end_service
44,4608,arrival
44,4608,join_queue_1
44,4608,join_queue_2 - service request escalated
29,4608,renege_queue_2
44,4608,begin_service
43,4637,end_service
45,4638,arrival
45,4638,join_queue_1
45,4638,begin_service
46,4642,arrival
46,4642,join_queue_1
47,4642,arrival
46,4642,begin_service
47,4642,join_queue_1
47,4642,begin_service
48,4826,arrival
48,4826,join_queue_1
48,4826,begin_service
45,4849,end_service
44,4870,end_service
49,4892,arrival
49,4892,join_queue_1
49,4892,begin_service
50,4903,arrival
50,4903,join_queue_1
50,4903,begin_service
47,4927,end_service
46,4931,end_service
51,4963,arrival
51,4963,join_queue_1
51,4963,begin_service
24,5004,end_escalated_service
32,5004,begin_escalated_service
52,5052,arrival
52,5052,join_queue_1
52,5052,begin_service
48,5126,end_service
53,5165,arrival
53,5165,join_queue_1
53,5165,begin_service
54,5168,arrival
54,5168,join_queue_1
54,5168,begin_service
55,5188,arrival
55,5188,join_queue_1
55,5188,begin_service
56,5189,arrival
56,5189,join_queue_1
56,5189,join_queue_2 - service request escalated
56,5189,begin_service
50,5227,end_service
57,5253,arrival
57,5253,join_queue_1
57,5253,begin_service
51,5276,end_service
49,5303,end_service
58,5322,arrival
58,5322,join_queue_1
58,5322,begin_service
53,5382,end_service
52,5434,end_service
59,5441,arrival
59,5441,join_queue_1
59,5441,join_queue_2 - service request escalated
39,5441,renege_queue_2
59,5441,begin_service
57,5476,end_service
60,5517,arrival
60,5517,join_queue_1
60,5517,join_queue_2 - service request escalated
44,5517,renege_queue_2
60,5517,begin_service
54,5525,end_service
55,5531,end_service
56,5588,end_service
61,5614,arrival
61,5614,join_queue_1
61,5614,begin_service
62,5705,arrival
62,5705,join_queue_1
62,5705,begin_service
59,5771,end_service
63,5808,arrival
63,5808,join_queue_1
63,5808,begin_service
58,5819,end_service
61,5872,end_service
60,5874,end_service
64,5883,arrival
64,5883,join_queue_1
64,5883,begin_service
65,5933,arrival
65,5933,join_queue_1
65,5933,begin_service
66,5953,arrival
66,5953,join_queue_1
66,5953,join_queue_2 - service request escalated
56,5953,renege_queue_2
66,5953,begin_service
62,6038,end_service
67,6056,arrival
67,6056,join_queue_1
67,6056,join_queue_2 - service request escalated
59,6056,renege_queue_2
67,6056,begin_service
68,6148,arrival
68,6148,join_queue_1
68,6148,begin_service
63,6166,end_service
69,6189,arrival
69,6189,join_queue_1
69,6189,begin_service
65,6221,end_service
64,6229,end_service
66,6257,end_service
67,6282,end_service
70,6284,arrival
70,6284,join_queue_1
70,6284,begin_service
68,6398,end_service
70,6542,end_service
71,6606,arrival
71,6606,join_queue_1
71,6606,join_queue_2 - service request escalated
60,6606,renege_queue_2
71,6606,begin_service
69,6653,end_service
32,6755,end_escalated_service
66,6755,begin_escalated_service
71,6862,end_service
72,7123,arrival
72,7123,join_queue_1
72,7123,begin_service
73,7219,arrival
73,7219,join_queue_1
73,7219,begin_service
72,7349,end_service
74,7396,arrival
74,7396,join_queue_1
74,7396,join_queue_2 - service request escalated
74,7396,begin_service
75,7429,arrival
75,7429,join_queue_1
75,7429,begin_service
76,7472,arrival
76,7472,join_queue_1
76,7472,begin_service
77,7503,arrival
77,7503,join_queue_1
77,7503,begin_service
73,7589,end_service
74,7609,end_service
75,7708,end_service
77,7762,end_service
78,7825,arrival
78,7825,join_queue_1
78,7825,begin_service
79,7842,arrival
79,7842,join_queue_1
79,7842,begin_service
80,7844,arrival
80,7844,join_queue_1
80,7844,begin_service
76,7846,end_service
81,7903,arrival
