caseid,time,activity
1,208,arrival
1,208,join_queue_1
1,208,join_queue_2 - service request escalated
1,208,begin_service
1,208,begin_escalated_service
2,238,arrival
2,238,join_queue_1
2,238,begin_service
3,242,arrival
3,242,join_queue_1
3,242,begin_service
4,337,arrival
4,337,join_queue_1
4,337,join_queue_2 - service request escalated
4,337,begin_service
4,337,begin_escalated_service
5,357,arrival
5,357,join_queue_1
5,357,begin_service
6,382,arrival
6,382,join_queue_1
6,382,begin_service
7,448,arrival
7,448,join_queue_1
1,502,end_service
7,502,begin_service
8,560,arrival
8,560,join_queue_1
9,641,arrival
9,641,join_queue_1
6,680,end_service
8,680,begin_service
10,765,arrival
10,765,join_queue_1
3,989,end_service
9,989,begin_service
5,1003,end_service
10,1003,begin_service
11,1058,arrival
11,1058,join_queue_1
12,1235,arrival
12,1235,join_queue_1
8,1266,end_service
11,1266,begin_service
13,1276,arrival
13,1276,join_queue_1
14,1340,arrival
14,1340,join_queue_1
15,1388,arrival
15,1388,join_queue_1
16,1443,arrival
16,1443,join_queue_1
7,1461,end_service
12,1461,begin_service
17,1488,arrival
17,1488,join_queue_1
18,1592,arrival
18,1592,join_queue_1
19,1606,arrival
19,1606,join_queue_1
19,1606,join_queue_2 - service request escalated
4,1631,end_service
13,1631,begin_service
20,1653,arrival
20,1653,join_queue_1
20,1653,join_queue_2 - service request escalated
2,1693,end_service
14,1693,begin_service
9,1803,end_service
15,1803,begin_service
21,1883,arrival
21,1883,join_queue_1
22,1905,arrival
22,1905,join_queue_1
23,1984,arrival
23,1984,join_queue_1
23,1984,join_queue_2 - service request escalated
14,2028,end_service
16,2028,begin_service
10,2079,end_service
17,2079,begin_service
24,2080,arrival
24,2080,join_queue_1
24,2080,join_queue_2 - service request escalated
19,2080,renege_queue_2
25,2191,arrival
25,2191,join_queue_1
26,2260,arrival
26,2260,join_queue_1
11,2264,end_service
18,2264,begin_service
27,2337,arrival
27,2337,join_queue_1
4,2453,end_escalated_service
20,2453,begin_escalated_service
28,2578,arrival
28,2578,join_queue_1
29,2671,arrival
29,2671,join_queue_1
19,2671,renege_queue_1
15,2692,end_service
20,2692,begin_service
1,2746,end_escalated_service
23,2746,begin_escalated_service
30,2751,arrival
30,2751,join_queue_1
31,2800,arrival
31,2800,join_queue_1
31,2800,join_queue_2 - service request escalated
21,2800,renege_queue_1
13,2809,end_service
22,2809,begin_service
12,2816,end_service
23,2816,begin_service
16,2896,end_service
24,2896,begin_service
32,2905,arrival
32,2905,join_queue_1
32,2905,join_queue_2 - service request escalated
18,2987,end_service
25,2987,begin_service
33,3041,arrival
33,3041,join_queue_1
23,3075,end_service
26,3075,begin_service
17,3084,end_service
27,3084,begin_service
34,3135,arrival
34,3135,join_queue_1
35,3428,arrival
35,3428,join_queue_1
20,3509,end_service
28,3509,begin_service
36,3611,arrival
36,3611,join_queue_1
36,3611,join_queue_2 - service request escalated
24,3611,renege_queue_2
37,3760,arrival
37,3760,join_queue_1
37,3760,join_queue_2 - service request escalated
31,3760,renege_queue_2
38,3772,arrival
38,3772,join_queue_1
22,3846,end_service
29,3846,begin_service
25,3857,end_service
30,3857,begin_service
24,4122,end_service
31,4122,begin_service
39,4137,arrival
39,4137,join_queue_1
23,4142,end_escalated_service
32,4142,begin_escalated_service
40,4167,arrival
40,4167,join_queue_1
41,4175,arrival
41,4175,join_queue_1
42,4183,arrival
42,4183,join_queue_1
32,4183,renege_queue_1
43,4263,arrival
43,4263,join_queue_1
33,4263,renege_queue_1
44,4265,arrival
44,4265,join_queue_1
34,4265,renege_queue_1
26,4308,end_service
35,4308,begin_service
27,4310,end_service
36,4310,begin_service
45,4386,arrival
45,4386,join_queue_1
28,4409,end_service
37,4409,begin_service
46,4513,arrival
46,4513,join_queue_1
47,4688,arrival
47,4688,join_queue_1
47,4688,join_queue_2 - service request escalated
48,4722,arrival
48,4722,join_queue_1
38,4722,renege_queue_1
49,4742,arrival
49,4742,join_queue_1
39,4742,renege_queue_1
32,4903,end_escalated_service
36,4903,begin_escalated_service
20,4997,end_escalated_service
37,4997,begin_escalated_service
50,5024,arrival
50,5024,join_queue_1
40,5024,renege_queue_1
30,5035,end_service
41,5035,begin_service
51,5079,arrival
51,5079,join_queue_1
29,5126,end_service
42,5126,begin_service
37,5156,end_service
43,5156,begin_service
52,5183,arrival
52,5183,join_queue_1
52,5183,join_queue_2 - service request escalated
31,5231,end_service
44,5231,begin_service
53,5265,arrival
53,5265,join_queue_1
53,5265,join_queue_2 - service request escalated
54,5474,arrival
54,5474,join_queue_1
36,5544,end_service
45,5544,begin_service
55,5558,arrival
55,5558,join_queue_1
56,5691,arrival
56,5691,join_queue_1
46,5691,renege_queue_1
44,5720,end_service
47,5720,begin_service
57,5762,arrival
57,5762,join_queue_1
58,5768,arrival
58,5768,join_queue_1
48,5768,renege_queue_1
42,5798,end_service
49,5798,begin_service
35,5800,end_service
50,5800,begin_service
43,5867,end_service
51,5867,begin_service
59,5953,arrival
59,5953,join_queue_1
49,6066,end_service
52,6066,begin_service
41,6268,end_service
53,6268,begin_service
50,6316,end_service
54,6316,begin_service
60,6407,arrival
60,6407,join_queue_1
53,6422,end_service
55,6422,begin_service
61,6424,arrival
61,6424,join_queue_1
61,6424,join_queue_2 - service request escalated
47,6424,renege_queue_2
62,6427,arrival
62,6427,join_queue_1
63,6541,arrival
63,6541,join_queue_1
64,6546,arrival
64,6546,join_queue_1
45,6637,end_service
47,6637,end_service
56,6637,begin_service
57,6637,begin_service
36,6728,end_escalated_service
52,6728,begin_escalated_service
65,6800,arrival
65,6800,join_queue_1
56,7075,end_service
58,7075,begin_service
55,7088,end_service
59,7088,begin_service
66,7104,arrival
66,7104,join_queue_1
51,7222,end_service
60,7222,begin_service
52,7232,end_service
61,7232,begin_service
67,7307,arrival
67,7307,join_queue_1
59,7310,end_service
62,7310,begin_service
57,7325,end_service
63,7325,begin_service
54,7364,end_service
64,7364,begin_service
68,7405,arrival
68,7405,join_queue_1
69,7433,arrival
69,7433,join_queue_1
69,7433,join_queue_2 - service request escalated
61,7463,end_service
65,7463,begin_service
70,7553,arrival
70,7553,join_queue_1
70,7553,join_queue_2 - service request escalated
53,7553,renege_queue_2
71,7582,arrival
71,7582,join_queue_1
37,7587,end_escalated_service
61,7587,begin_escalated_service
72,7615,arrival
72,7615,join_queue_1
73,7660,arrival
73,7660,join_queue_1
74,7665,arrival
74,7665,join_queue_1
75,7763,arrival
75,7763,join_queue_1
58,7787,end_service
66,7787,begin_service
64,7840,end_service
67,7840,begin_service
76,7858,arrival
76,7858,join_queue_1
77,7881,arrival
77,7881,join_queue_1
78,7920,arrival
78,7920,join_queue_1
68,7920,renege_queue_1
79,7936,arrival
79,7936,join_queue_1
69,7936,renege_queue_1
66,7951,end_service
70,7951,begin_service
80,7988,arrival
80,7988,join_queue_1
81,7991,arrival
81,7991,join_queue_1
71,7991,renege_queue_1
82,8067,arrival
82,8067,join_queue_1
72,8067,renege_queue_1
67,8166,end_service
73,8166,begin_service
63,8173,end_service
74,8173,begin_service
83,8176,arrival
83,8176,join_queue_1
70,8217,end_service
75,8217,begin_service
65,8225,end_service
76,8225,begin_service
84,8229,arrival
84,8229,join_queue_1
85,8275,arrival
85,8275,join_queue_1
86,8329,arrival
86,8329,join_queue_1
87,8358,arrival
87,8358,join_queue_1
77,8358,renege_queue_1
62,8393,end_service
78,8393,begin_service
76,8625,end_service
79,8625,begin_service
88,8648,arrival
88,8648,join_queue_1
89,8658,arrival
89,8658,join_queue_1
60,8678,end_service
80,8678,begin_service
90,8732,arrival
