caseid,time,activity
1,208,arrival
1,208,join_queue_1
1,208,begin_service
2,238,arrival
2,238,join_queue_1
2,238,begin_service
3,242,arrival
3,242,join_queue_1
3,242,join_queue_2 - service request escalated
3,242,begin_service
3,242,begin_escalated_service
4,337,arrival
4,337,join_queue_1
4,337,begin_service
5,357,arrival
5,357,join_queue_1
5,357,begin_service
6,382,arrival
6,382,join_queue_1
6,382,begin_service
7,448,arrival
7,448,join_queue_1
2,530,end_service
7,530,begin_service
8,560,arrival
8,560,join_queue_1
9,641,arrival
9,641,join_queue_1
10,765,arrival
10,765,join_queue_1
3,953,end_service
8,953,begin_service
4,1017,end_service
9,1017,begin_service
11,1058,arrival
11,1058,join_queue_1
12,1235,arrival
12,1235,join_queue_1
13,1276,arrival
13,1276,join_queue_1
13,1276,join_queue_2 - service request escalated
8,1284,end_service
10,1284,begin_service
7,1286,end_service
11,1286,begin_service
14,1340,arrival
14,1340,join_queue_1
15,1388,arrival
15,1388,join_queue_1
16,1443,arrival
16,1443,join_queue_1
17,1488,arrival
17,1488,join_queue_1
1,1532,end_service
12,1532,begin_service
6,1580,end_service
13,1580,begin_service
3,1590,end_escalated_service
13,1590,begin_escalated_service
18,1592,arrival
18,1592,join_queue_1
19,1606,arrival
19,1606,join_queue_1
5,1622,end_service
14,1622,begin_service
20,1653,arrival
20,1653,join_queue_1
11,1788,end_service
15,1788,begin_service
21,1883,arrival
21,1883,join_queue_1
22,1905,arrival
22,1905,join_queue_1
23,1984,arrival
23,1984,join_queue_1
24,2080,arrival
24,2080,join_queue_1
25,2191,arrival
25,2191,join_queue_1
26,2260,arrival
26,2260,join_queue_1
26,2260,join_queue_2 - service request escalated
16,2260,renege_queue_1
27,2337,arrival
27,2337,join_queue_1
17,2337,renege_queue_1
9,2366,end_service
18,2366,begin_service
10,2547,end_service
19,2547,begin_service
28,2578,arrival
28,2578,join_queue_1
28,2578,join_queue_2 - service request escalated
12,2582,end_service
20,2582,begin_service
29,2671,arrival
29,2671,join_queue_1
30,2751,arrival
30,2751,join_queue_1
13,2792,end_service
21,2792,begin_service
31,2800,arrival
31,2800,join_queue_1
32,2905,arrival
32,2905,join_queue_1
22,2905,renege_queue_1
18,2913,end_service
23,2913,begin_service
19,2987,end_service
24,2987,begin_service
21,2989,end_service
25,2989,begin_service
14,3035,end_service
26,3035,begin_service
33,3041,arrival
33,3041,join_queue_1
20,3044,end_service
27,3044,begin_service
34,3135,arrival
34,3135,join_queue_1
13,3145,end_escalated_service
26,3145,begin_escalated_service
15,3167,end_service
28,3167,begin_service
23,3240,end_service
29,3240,begin_service
35,3428,arrival
35,3428,join_queue_1
36,3611,arrival
36,3611,join_queue_1
36,3611,join_queue_2 - service request escalated
37,3760,arrival
37,3760,join_queue_1
38,3772,arrival
38,3772,join_queue_1
26,3788,end_service
30,3788,begin_service
29,3807,end_service
31,3807,begin_service
24,3843,end_service
32,3843,begin_service
25,3867,end_service
33,3867,begin_service
27,3971,end_service
34,3971,begin_service
32,4007,end_service
35,4007,begin_service
39,4137,arrival
39,4137,join_queue_1
40,4167,arrival
40,4167,join_queue_1
40,4167,join_queue_2 - service request escalated
41,4175,arrival
41,4175,join_queue_1
42,4183,arrival
42,4183,join_queue_1
43,4263,arrival
43,4263,join_queue_1
44,4265,arrival
44,4265,join_queue_1
45,4386,arrival
45,4386,join_queue_1
46,4513,arrival
46,4513,join_queue_1
46,4513,join_queue_2 - service request escalated
36,4513,renege_queue_1
28,4513,renege_queue_2
30,4579,end_service
37,4579,begin_service
28,4585,end_service
38,4585,begin_service
47,4688,arrival
47,4688,join_queue_1
47,4688,join_queue_2 - service request escalated
36,4688,renege_queue_2
48,4722,arrival
48,4722,join_queue_1
48,4722,join_queue_2 - service request escalated
40,4722,renege_queue_2
49,4742,arrival
49,4742,join_queue_1
39,4742,renege_queue_1
33,4993,end_service
40,4993,begin_service
50,5024,arrival
50,5024,join_queue_1
50,5024,join_queue_2 - service request escalated
46,5024,renege_queue_2
31,5026,end_service
41,5026,begin_service
51,5079,arrival
51,5079,join_queue_1
52,5183,arrival
52,5183,join_queue_1
42,5183,renege_queue_1
53,5265,arrival
53,5265,join_queue_1
43,5265,renege_queue_1
26,5350,end_escalated_service
47,5350,begin_escalated_service
35,5377,end_service
44,5377,begin_service
41,5379,end_service
45,5379,begin_service
34,5381,end_service
46,5381,begin_service
54,5474,arrival
54,5474,join_queue_1
54,5474,join_queue_2 - service request escalated
55,5558,arrival
55,5558,join_queue_1
37,5580,end_service
47,5580,begin_service
56,5691,arrival
56,5691,join_queue_1
57,5762,arrival
57,5762,join_queue_1
58,5768,arrival
58,5768,join_queue_1
48,5768,renege_queue_1
45,5804,end_service
49,5804,begin_service
59,5953,arrival
59,5953,join_queue_1
59,5953,join_queue_2 - service request escalated
48,5953,renege_queue_2
38,5954,end_service
50,5954,begin_service
49,6113,end_service
51,6113,begin_service
44,6377,end_service
52,6377,begin_service
47,6378,end_service
53,6378,begin_service
60,6407,arrival
60,6407,join_queue_1
40,6411,end_service
54,6411,begin_service
61,6424,arrival
61,6424,join_queue_1
62,6427,arrival
62,6427,join_queue_1
63,6541,arrival
63,6541,join_queue_1
64,6546,arrival
64,6546,join_queue_1
46,6605,end_service
55,6605,begin_service
65,6800,arrival
65,6800,join_queue_1
51,6826,end_service
56,6826,begin_service
54,6834,end_service
57,6834,begin_service
66,7104,arrival
66,7104,join_queue_1
57,7107,end_service
58,7107,begin_service
47,7228,end_escalated_service
50,7228,begin_escalated_service
56,7295,end_service
59,7295,begin_service
67,7307,arrival
67,7307,join_queue_1
68,7405,arrival
68,7405,join_queue_1
50,7409,end_service
60,7409,begin_service
69,7433,arrival
69,7433,join_queue_1
69,7433,join_queue_2 - service request escalated
53,7528,end_service
61,7528,begin_service
70,7553,arrival
70,7553,join_queue_1
71,7582,arrival
71,7582,join_queue_1
72,7615,arrival
72,7615,join_queue_1
62,7615,renege_queue_1
73,7660,arrival
73,7660,join_queue_1
63,7660,renege_queue_1
74,7665,arrival
74,7665,join_queue_1
64,7665,renege_queue_1
58,7730,end_service
65,7730,begin_service
52,7733,end_service
66,7733,begin_service
75,7763,arrival
75,7763,join_queue_1
75,7763,join_queue_2 - service request escalated
54,7763,renege_queue_2
76,7858,arrival
76,7858,join_queue_1
77,7881,arrival
77,7881,join_queue_1
67,7881,renege_queue_1
78,7920,arrival
78,7920,join_queue_1
78,7920,join_queue_2 - service request escalated
68,7920,renege_queue_1
59,7920,renege_queue_2
79,7936,arrival
79,7936,join_queue_1
69,7936,renege_queue_1
55,7948,end_service
70,7948,begin_service
50,7976,end_escalated_service
69,7976,begin_escalated_service
80,7988,arrival
80,7988,join_queue_1
81,7991,arrival
81,7991,join_queue_1
71,7991,renege_queue_1
82,8067,arrival
82,8067,join_queue_1
72,8067,renege_queue_1
66,8141,end_service
73,8141,begin_service
83,8176,arrival
83,8176,join_queue_1
84,8229,arrival
84,8229,join_queue_1
84,8229,join_queue_2 - service request escalated
74,8229,renege_queue_1
59,8234,end_service
75,8234,begin_service
85,8275,arrival
85,8275,join_queue_1
86,8329,arrival
86,8329,join_queue_1
76,8329,renege_queue_1
61,8345,end_service
77,8345,begin_service
87,8358,arrival
87,8358,join_queue_1
87,8358,join_queue_2 - service request escalated
75,8358,renege_queue_2
70,8450,end_service
78,8450,begin_service
88,8648,arrival
88,8648,join_queue_1
89,8658,arrival
89,8658,join_queue_1
79,8658,renege_queue_1
60,8722,end_service
80,8722,begin_service
90,8732,arrival
90,8732,join_queue_1
90,8732,join_queue_2 - service request escalated
